TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ENGINE_ATTRIBUTE,SECONDARY_ENGINE_ATTRIBUTE
information_schema,INNODB_BUFFER_PAGE_LRU,def,LRU_POSITION,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,SPACE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,PAGE_NUMBER,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,PAGE_TYPE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,FLUSH_TYPE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,FIX_COUNT,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,IS_HASHED,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,NEWEST_MODIFICATION,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,OLDEST_MODIFICATION,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,ACCESS_TIME,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,TABLE_NAME,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,INDEX_NAME,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,NUMBER_RECORDS,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,DATA_SIZE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,COMPRESSED_SIZE,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,COMPRESSED,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,IO_FIX,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,IS_OLD,NULL,NULL
information_schema,INNODB_BUFFER_PAGE_LRU,def,FREE_PAGE_CLOCK,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,POOL_ID,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,POOL_SIZE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,FREE_BUFFERS,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,DATABASE_PAGES,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,OLD_DATABASE_PAGES,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,MODIFIED_DATABASE_PAGES,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PENDING_DECOMPRESS,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PENDING_READS,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PENDING_FLUSH_LRU,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PENDING_FLUSH_LIST,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_MADE_YOUNG,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_NOT_MADE_YOUNG,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_MADE_YOUNG_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_MADE_NOT_YOUNG_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NUMBER_PAGES_READ,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NUMBER_PAGES_CREATED,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NUMBER_PAGES_WRITTEN,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_READ_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_CREATE_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,PAGES_WRITTEN_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NUMBER_PAGES_GET,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,HIT_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,YOUNG_MAKE_PER_THOUSAND_GETS,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NOT_YOUNG_MAKE_PER_THOUSAND_GETS,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NUMBER_PAGES_READ_AHEAD,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,NUMBER_READ_AHEAD_EVICTED,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,READ_AHEAD_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,READ_AHEAD_EVICTED_RATE,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,LRU_IO_TOTAL,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,LRU_IO_CURRENT,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,UNCOMPRESS_TOTAL,NULL,NULL
information_schema,INNODB_BUFFER_POOL_STATS,def,UNCOMPRESS_CURRENT,NULL,NULL
information_schema,INNODB_CACHED_INDEXES,def,SPACE_ID,NULL,NULL
information_schema,INNODB_CACHED_INDEXES,def,INDEX_ID,NULL,NULL
information_schema,INNODB_CACHED_INDEXES,def,N_CACHED_PAGES,NULL,NULL
information_schema,INNODB_CMP,def,page_size,NULL,NULL
information_schema,INNODB_CMP,def,compress_ops,NULL,NULL
information_schema,INNODB_CMP,def,compress_ops_ok,NULL,NULL
information_schema,INNODB_CMP,def,compress_time,NULL,NULL
