LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_DESCRIPTION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,INNODB_INDEXES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_INDEXES,80022.0,NULL
FORCE,INNODB_TABLESPACES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_TABLESPACES,80022.0,NULL
FORCE,INNODB_COLUMNS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_COLUMNS,80022.0,NULL
FORCE,INNODB_VIRTUAL,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_VIRTUAL,80022.0,NULL
FORCE,INNODB_CACHED_INDEXES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB cached indexes,80022.0,NULL
FORCE,INNODB_SESSION_TEMP_TABLESPACES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.0,InnoDB Session Temporary tablespaces,80022.0,NULL
FORCE,MyISAM,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,MyISAM storage engine,80022.0,NULL
FORCE,MRG_MYISAM,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Collection of identical MyISAM tables,80022.0,NULL
FORCE,PERFORMANCE_SCHEMA,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,0.1,Performance Schema,80022.0,NULL
FORCE,TempTable,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,InnoDB temporary storage engine,80022.0,NULL
ON,ARCHIVE,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,3.0,Archive storage engine,80022.0,NULL
ON,BLACKHOLE,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,/dev/null storage engine (anything you write to it disappears),80022.0,NULL
OFF,FEDERATED,STORAGE ENGINE,Oracle Corporation,DISABLED,NULL,GPL,1.0,Federated MySQL storage engine,80022.0,NULL
ON,ngram,FTPARSER,Oracle Corporation,ACTIVE,NULL,GPL,0.1,Ngram Full-Text Parser,1.1,NULL
ON,mysqlx_cache_cleaner,AUDIT,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Cache cleaner for sha2 authentication in X plugin,4.1,NULL
ON,mysqlx,DAEMON,Oracle Corporation,ACTIVE,NULL,GPL,1.0,X Plugin for MySQL,80022.0,NULL
ON,auth_socket,AUTHENTICATION,Oracle Corporation,ACTIVE,auth_socket.so,GPL,1.1,Unix Socket based authentication,2.0,1.10

